BSSID,Epoch,Temperature
48:27:E2:AD:85:D0,1681683777,20.6901
48:27:E2:AD:91:38,1681683777,17.6923
EC:DA:3B:0F:5C:AC,1681683777,20.2501
master,1681683777,20.1292
48:27:E2:AD:85:D0,1681683778,20.0736
48:27:E2:AD:91:38,1681683778,17.0476
EC:DA:3B:0F:5C:AC,1681683778,20.3903
master,1681683778,19.9262
48:27:E2:AD:85:D0,1681683779,20.0051
48:27:E2:AD:91:38,1681683779,17.0476
EC:DA:3B:0F:5C:AC,1681683779,20.5306
master,1681683779,19.3169
48:27:E2:AD:85:D0,1681683780,20.1421
48:27:E2:AD:91:38,1681683780,17.6278
EC:DA:3B:0F:5C:AC,1681683780,20.4604
master,1681683780,19.9262
48:27:E2:AD:85:D0,1681683781,20.0051
48:27:E2:AD:91:38,1681683781,17.6278
EC:DA:3B:0F:5C:AC,1681683781,20.2501
master,1681683781,19.1815
48:27:E2:AD:85:D0,1681683782,20.8271
48:27:E2:AD:91:38,1681683782,17.7568
EC:DA:3B:0F:5C:AC,1681683782,20.3202
master,1681683782,20.0615
48:27:E2:AD:85:D0,1681683783,20.1421
48:27:E2:AD:91:38,1681683783,17.0476
EC:DA:3B:0F:5C:AC,1681683783,20.3903
master,1681683783,19.3169
48:27:E2:AD:85:D0,1681683784,19.9366
48:27:E2:AD:91:38,1681683784,17.6278
EC:DA:3B:0F:5C:AC,1681683784,20.3903
master,1681683784,19.0462
48:27:E2:AD:85:D0,1681683785,20.7586
48:27:E2:AD:91:38,1681683785,17.6923
EC:DA:3B:0F:5C:AC,1681683785,20.2501
master,1681683785,19.2492
48:27:E2:AD:85:D0,1681683786,20.0736
48:27:E2:AD:91:38,1681683786,16.9832
EC:DA:3B:0F:5C:AC,1681683786,20.5306
master,1681683786,20.0615
48:27:E2:AD:85:D0,1681683787,20.0051
48:27:E2:AD:91:38,1681683787,17.6923
EC:DA:3B:0F:5C:AC,1681683787,20.5306
master,1681683787,20.1969
48:27:E2:AD:85:D0,1681683788,20.1421
48:27:E2:AD:91:38,1681683788,17.0476
EC:DA:3B:0F:5C:AC,1681683788,20.3903
master,1681683788,20.2646
48:27:E2:AD:85:D0,1681683789,20.0051
48:27:E2:AD:91:38,1681683789,17.6923
EC:DA:3B:0F:5C:AC,1681683789,20.3903
master,1681683789,20.1969
48:27:E2:AD:85:D0,1681683790,20.7586
48:27:E2:AD:91:38,1681683790,17.6923
EC:DA:3B:0F:5C:AC,1681683790,22.8442
master,1681683790,20.1292
48:27:E2:AD:85:D0,1681683791,20.1421
48:27:E2:AD:91:38,1681683791,17.6278
EC:DA:3B:0F:5C:AC,1681683791,20.3202
master,1681683791,20.2646
48:27:E2:AD:85:D0,1681683792,20.6216
48:27:E2:AD:91:38,1681683792,17.0476
EC:DA:3B:0F:5C:AC,1681683792,20.3903
master,1681683792,19.9262
48:27:E2:AD:85:D0,1681683793,20.6216
48:27:E2:AD:91:38,1681683793,17.5634
EC:DA:3B:0F:5C:AC,1681683793,20.4604
master,1681683793,20.2646
48:27:E2:AD:85:D0,1681683794,20.7586
48:27:E2:AD:91:38,1681683794,17.0476
EC:DA:3B:0F:5C:AC,1681683794,20.4604
master,1681683794,19.9938
48:27:E2:AD:85:D0,1681683795,20.1421
48:27:E2:AD:91:38,1681683795,17.6923
EC:DA:3B:0F:5C:AC,1681683795,20.4604
master,1681683795,20.1292
